"","site","Survey","date","year","plot","sp","sp2","wdt_1"
"220","Heathy Spur 2","1990s","30/3/1995",1990,24,"Acrothamnus montanus","Acrothamnus",4
"221","Heathy Spur 2","1990s","30/3/1995",1990,24,"Acrothamnus montanus","Acrothamnus",9
"222","Heathy Spur 2","1990s","30/3/1995",1990,24,"Acrothamnus montanus","Acrothamnus",45
"223","Heathy Spur 2","1990s","30/3/1995",1990,24,"Acrothamnus montanus","Acrothamnus",54
"224","Heathy Spur 2","1990s","30/3/1995",1990,25,"Acrothamnus montanus","Acrothamnus",5
"225","Heathy Spur 2","1990s","30/3/1995",1990,25,"Acrothamnus montanus","Acrothamnus",28
"226","Heathy Spur 2","1990s","30/3/1995",1990,26,"Acrothamnus montanus","Acrothamnus",4
"227","Heathy Spur 2","1990s","30/3/1995",1990,26,"Acrothamnus montanus","Acrothamnus",5
"228","Heathy Spur 2","1990s","30/3/1995",1990,26,"Acrothamnus montanus","Acrothamnus",8
"229","Heathy Spur 2","1990s","30/3/1995",1990,26,"Acrothamnus montanus","Acrothamnus",10
"230","Heathy Spur 2","1990s","30/3/1995",1990,26,"Acrothamnus montanus","Acrothamnus",19
"231","Heathy Spur 2","1990s","30/3/1995",1990,26,"Acrothamnus montanus","Acrothamnus",20
"232","Heathy Spur 2","1990s","30/3/1995",1990,26,"Acrothamnus montanus","Acrothamnus",90
"233","Heathy Spur 2","1990s","30/3/1995",1990,27,"Acrothamnus montanus","Acrothamnus",12
"234","Heathy Spur 2","1990s","30/3/1995",1990,27,"Acrothamnus montanus","Acrothamnus",21
"235","Heathy Spur 2","1990s","30/3/1995",1990,27,"Acrothamnus montanus","Acrothamnus",48
"236","Heathy Spur 2","1990s","30/3/1995",1990,27,"Acrothamnus montanus","Acrothamnus",65
"237","Heathy Spur 2","1990s","30/3/1995",1990,28,"Acrothamnus montanus","Acrothamnus",1
"238","Heathy Spur 2","1990s","30/3/1995",1990,28,"Acrothamnus montanus","Acrothamnus",4
"239","Heathy Spur 2","1990s","30/3/1995",1990,28,"Acrothamnus montanus","Acrothamnus",31
"240","Heathy Spur 2","1990s","30/3/1995",1990,28,"Acrothamnus montanus","Acrothamnus",66
"241","Heathy Spur 2","1990s","30/3/1995",1990,29,"Acrothamnus montanus","Acrothamnus",2
"242","Heathy Spur 2","1990s","30/3/1995",1990,29,"Acrothamnus montanus","Acrothamnus",2
"243","Heathy Spur 2","1990s","30/3/1995",1990,29,"Acrothamnus montanus","Acrothamnus",7
"244","Heathy Spur 2","1990s","30/3/1995",1990,29,"Acrothamnus montanus","Acrothamnus",10
"245","Heathy Spur 2","1990s","30/3/1995",1990,29,"Acrothamnus montanus","Acrothamnus",10
"246","Heathy Spur 2","1990s","30/3/1995",1990,29,"Acrothamnus montanus","Acrothamnus",44
"247","Heathy Spur 2","1990s","30/3/1995",1990,30,"Acrothamnus montanus","Acrothamnus",2
"248","Heathy Spur 2","1990s","30/3/1995",1990,30,"Acrothamnus montanus","Acrothamnus",15
"249","Heathy Spur 2","1990s","30/3/1995",1990,30,"Acrothamnus montanus","Acrothamnus",15
"250","Heathy Spur 2","1990s","30/3/1995",1990,30,"Acrothamnus montanus","Acrothamnus",18
"251","Heathy Spur 2","1990s","30/3/1995",1990,30,"Acrothamnus montanus","Acrothamnus",18
